event_id,user_id,timestamp,device_type,browser,is_vpn,failed_logins,session_duration,bytes_sent,bytes_received,ip,success,label
1,135,2025-01-05 19:43:00,desktop,chrome,1,5,56.73858579532954,1065.265074282098,388844.2272725408,10.160.167.49,1,1
2,126,2025-02-13 16:10:00,desktop,firefox,0,1,48.018448158750275,41510.28539880217,10388.668261085431,10.12.186.9,1,0
3,1968,2025-01-31 04:26:00,tablet,chrome,0,0,29.55946126699053,18565.0490090598,98374.1935672536,10.98.34.249,0,0
4,1903,2025-01-31 17:52:00,desktop,chrome,0,0,19.56663054600301,73006.21704707865,40194.35164270457,10.220.150.176,1,0
5,1668,2025-03-01 13:57:00,desktop,chrome,0,2,89.74081938701721,16200.242950092425,36202.45857578093,10.176.59.186,0,0
6,135,2025-03-01 11:47:00,mobile,chrome,0,0,142.50259822977245,27467.937368634044,13484.186433552446,10.51.120.9,1,0
7,1778,2025-02-15 18:26:00,mobile,chrome,0,1,10.191297363558903,25568.692821307613,23607.588267055533,10.118.29.99,1,0
8,1948,2025-01-10 20:34:00,tablet,safari,1,0,87.00163938481116,10385.462107602698,43293.694665973395,10.72.39.236,1,0
9,1570,2025-01-16 20:29:00,mobile,firefox,1,0,71.67172023591672,24450.37134676589,14324.402082578556,10.86.110.61,1,0
10,842,2025-01-17 08:15:00,tablet,edge,0,1,152.4210025797931,23655.279489662855,157074.24369181265,10.100.203.225,1,0
11,187,2025-01-14 17:53:00,mobile,edge,0,0,434.17686248118014,70216.0597288369,8353.703026404157,10.242.137.230,1,0
12,708,2025-02-28 01:25:00,desktop,chrome,0,1,80.28732035412133,11431.052657693419,36485.0564411882,10.148.212.89,1,0
13,409,2025-01-10 13:03:00,desktop,chrome,0,0,205.74771413137796,9102.950129286515,28175.21189049891,10.56.115.219,1,0
14,1301,2025-02-21 04:07:00,mobile,chrome,0,1,731.7064038177787,71117.54249570478,61074.38356787806,10.239.123.20,1,0
15,1766,2025-02-18 08:50:00,desktop,safari,0,2,55.37726875344876,84083.05444339596,47888.56844935434,10.81.208.103,1,0
